OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),Electricity(kBtu),NaturalGas(kBtu)
23373,Multifamily HR (10+),High-Rise Multifamily,1993,1.0,25,255205,Multifamily Housing,305179.0,Parking,93906.0,14361382.0,15102601.0,8912398.0,5448982.0
23377,Multifamily LR (1-4),Low-Rise Multifamily,1963,1.0,4,20467,Multifamily Housing,20467.0,not concerned,0.0,493000.0,493000.0,493000.0,0.0
23400,NonResidential,Small- and Mid-Sized Office,1988,1.0,2,66484,Office,49334.0,Non-Refrigerated Warehouse,18000.0,3046543.0,3098383.5,3046543.0,0.0
23404,NonResidential,Small- and Mid-Sized Office,1959,1.0,3,25151,Office,24155.0,not concerned,0.0,1356874.75,1481688.75,607890.0,0.0
23408,NonResidential,Hotel,1928,1.0,6,35770,Hotel,35770.0,not concerned,0.0,2640980.25,2835357.0,605147.0,2035833.0
23409,Multifamily MR (5-9),Mid-Rise Multifamily,1925,1.0,5,51900,Multifamily Housing,51900.0,not concerned,0.0,2746152.0,3130401.5,442864.0,2303288.0
23410,NonResidential,Hotel,1928,1.0,9,48006,Hotel,48006.0,not concerned,0.0,3239754.0,3182794.5,1533438.0,1706316.0
23416,NonResidential,Mixed Use Property,1960,1.0,2,29631,Supermarket/Grocery Store,16000.0,Office,13000.0,5144392.0,5327051.5,2737254.0,2407137.0
23418,NonResidential,Small- and Mid-Sized Office,1989,1.0,2,23472,Office,20695.0,Other,1065.0,1625308.625,1589717.125,864104.0,761205.0
23419,Nonresidential COS,Small- and Mid-Sized Office,1973,1.0,2,21315,Office,20424.0,not concerned,0.0,2796425.0,3161573.5,820533.0,1975892.0
23420,Multifamily MR (5-9),Mid-Rise Multifamily,1996,1.0,5,23821,Multifamily Housing,23821.0,not concerned,0.0,924438.125,992151.875,369756.0,554682.0
23421,Multifamily HR (10+),High-Rise Multifamily,1980,1.0,11,53290,Multifamily Housing,53290.0,Parking,28184.0,1703504.875,1842664.25,1703505.0,0.0
23430,Multifamily LR (1-4),Low-Rise Multifamily,1991,1.0,4,32040,Multifamily Housing,32040.0,not concerned,0.0,727703.5,727703.5,727704.0,0.0
23432,Multifamily LR (1-4),Low-Rise Multifamily,1985,1.0,4,22716,Multifamily Housing,22298.0,not concerned,0.0,835093.1875,883783.0,835093.0,0.0
23433,Multifamily LR (1-4),Low-Rise Multifamily,1967,1.0,4,43477,Multifamily Housing,33292.0,Parking,7185.0,1820814.75,1930646.125,1131320.0,689495.0
23435,Multifamily MR (5-9),Mid-Rise Multifamily,1930,1.0,5,31040,Multifamily Housing,25845.0,not concerned,0.0,644081.125,726087.125,641634.0,2447.0
23438,Multifamily LR (1-4),Low-Rise Multifamily,1982,1.0,4,87864,Multifamily Housing,87864.0,Parking,22000.0,2081072.625,2251192.5,2081072.0,0.0
23439,Multifamily LR (1-4),Low-Rise Multifamily,1982,1.0,4,25357,Multifamily Housing,25357.0,not concerned,0.0,570228.6875,622556.125,501857.0,68372.0
